sku,product_name,barcode,revenue,quantity
multispecies-quarterly,Multi-Species: Quarterly,,1178.0,31
MIFJ-misc,Ike's Flip Out Jig - 3/4 oz. - Misc,,1175.32,164
HR5-08,"Hellraizer - 5"" / Ghost Shad",,1169.22,78
mb-kids-6,The Perfect Starter Fishing Kit for Kids! 🎁,,1151.09,55
gold-paid-monthly-6,Gold Monthly Pass - 6 Months,,1136.2,38
4BBLT592,Boom Boom Line Thru Swimbait - Sexy Minnow,,1131.0,128
gold-0524,Pond Hopper Box #245,,1131.0,39
KIT-AM-JIG,Jiggin'-N-America - 18 Piece Kit,,1129.87,113
112-WN-FLAG,Stars & Stripes Trucker Hat,,1128.0,46
BURNERC-38-3,Blade Burner | Colorado Spinnerbait - Morning Dawn,,1117.68,135
gold-paid-monthly-3,Gold Monthly Pass - 3 Months,,1113.25,36
CL-BONE-XL,UV Moisture Wicking Sunshirt - XL,,1103.0,42
Gold-0724-NEW,Gold Series: monthly,,1102.0,38
FJC-BK,Flak Jacket Rod Covers: Spinning & Casting - Casting / Black,,1100.77,111
TCVSJ38-900,Strike King Thunder Cricket - 3/8 oz / Fire Craw,,1100.18,83
MB-GCARD-100,Gift Cards - $100 Gift Card,,1100.0,11
MB-ROLLO6-CBACK,Rollo 6 - Copper Black,656750687345,1099.26,129
MLF-GF-C,Greenfish Tackle Hammerhead Buzzbait - Chartreuse,,1094.63,137
GP-PROTECT-2,Guaranteed Shipping Protection - Level 2,,1084.86,369
FLATLINE-34,Flatline - Ghost Sexy,810103810518,1082.89,134
C-574F,"LUNKERSTICK Pro Series - Casting: 7'4"" Medium Heavy - Fast",810103810747,1079.65,7
HR5-02,"Hellraizer - 5"" / Matte Black",,1079.28,72
FLATLINE-58,Flatline - Sleepover,810103810501,1075.8,132
CH-BLK-GY-M,MONSTERBASS Nation Hat - Black,,1071.85,57
PROSTAFF-0724,Platinum: ProStaff,,1064.0,28
platinum-0125-old,The Big Bass Box,,1064.0,28
FHP55T517,Scott Martin Hollow Body Frog Popper,,1061.77,100
BB-110JERK-CLOWN,Banger 110 - Clown,,1060.82,118
SBTJCRC-1/4,Today's Mystery Jig,,1055.98,350
BURNERC-38-6,Blade Burner | Colorado Spinnerbait - White/White,,1052.58,126
silver-0925-old,The Money Maker Box,,1052.0,39
KLO-5.2-3.0,Kalon O Blackout Spinning Reel - 5.2:1 Gear  Ratio - Size 3.0,,1049.85,15
BB-26,Vibemaster Blade Bait - Cylon,,1048.0,131
4BBLT555,Boom Boom Line Thru Swimbait - Sexy Shad,,1035.0,117
MB-TPP-TFP-14,Tungsten Pro Pack - Texas Rig / Flipping - 1/4oz,656750687222,1032.4,142
FLATLINE-54,Flatline - Sexy Cracks,810103810570,1025.82,126
LCLAPC,Custom Lite 7' All Purpose Casting Rod,,1019.94,6
BH-HELLBOY-MONEY,Hellboy - Money,,1013.98,102
INCISION-35,Incision 69mm Lipless Crankbait - Ghost Shad,,1006.45,115
60206,Buzz Frog - Watermelon,,1004.13,124
MB-GCARD-500,Gift Cards - $500 Gift Card,,1000.0,2
MB-GCARD-250,Gift Cards - $250 Gift Card,,1000.0,4
DAD25,Ultimate Dad Bundle,,1000.0,5
FLATLINE-56,Flatline - Silver Shiner,810103810532,994.89,123
