,Distribution account,Transaction date,Transaction type,Num,Name,Memo/Description,Split account,Amount,Balance
,Inventory Asset,09/02/2025,Bill,2089,VRX Fishing Products,"3.5"" Punisher Punch Craw, Black Blue Lam",Accounts Payable (A/P),45.9,1204273.2199999986
,Inventory Asset,09/02/2025,Bill,2089,VRX Fishing Products,"3.5"" Punisher Punch Craw, Junebug",Accounts Payable (A/P),383.35,1204656.5699999987
,Inventory Asset,09/02/2025,Bill,,Weihai Runten Industrial Limited,The Vault - 3600 Waterproof Tackle Box  UPC 810103812420,Accounts Payable (A/P),2420,1207076.5699999987
,Inventory Asset,09/02/2025,Bill,,Weihai Runten Industrial Limited,The Vault - 3700 Waterproof Tackle Box UPC 810103812413,Accounts Payable (A/P),2710,1209786.5699999987
,Inventory Asset,09/02/2025,Bill,2074,Weihai Runten Industrial Limited,Hoosier Daddy color: White & Chartreuse  UPC 810103812635,Accounts Payable (A/P),1089,1210875.5699999987
,Inventory Asset,09/02/2025,Bill,2074,Weihai Runten Industrial Limited,Hoosier Daddy color: Bluegill   UPC 810103812642,Accounts Payable (A/P),1089,1211964.5699999987
,Inventory Asset,09/02/2025,Bill,2074,Weihai Runten Industrial Limited,Hoosier Daddy color: White   UPC 810103812659,Accounts Payable (A/P),1089,1213053.5699999987
,Inventory Asset,09/02/2025,Bill,2074,Weihai Runten Industrial Limited,Hoosier Daddy color: Chad Spawn  UPC 810103812666,Accounts Payable (A/P),1089,1214142.5699999987
,Inventory Asset,09/02/2025,Bill,2077,Weihai Runten Industrial Limited,"The Shredder Spinenrbait - Sexy
UPC 8 53514 00058",Accounts Payable (A/P),935,1215077.5699999987
,Inventory Asset,09/02/2025,Bill,2077,Weihai Runten Industrial Limited,"The Shredder Spinenrbait - White/Chartreuse
UPC 8 53514 00059",Accounts Payable (A/P),935,1216012.5699999987
,Inventory Asset,09/02/2025,Bill,2077,Weihai Runten Industrial Limited,"The Shredder Spinenrbait - Mouse
UPC 8 53514 00060",Accounts Payable (A/P),935,1216947.5699999987
,Inventory Asset,09/02/2025,Bill,2077,Weihai Runten Industrial Limited,"The Shredder Spinenrbait - Spot Remover
UPC 8 53514 00061",Accounts Payable (A/P),935,1217882.5699999987
,Inventory Asset,09/02/2025,Bill,2078,Weihai Runten Industrial Limited,Create A Bait: Slick Stick 99 Blank,Accounts Payable (A/P),180,1218062.5699999987
,Inventory Asset,09/02/2025,Bill,2078,Weihai Runten Industrial Limited,Create A Bait: Little Banger Blank,Accounts Payable (A/P),180,1218242.5699999987
,Inventory Asset,09/02/2025,Bill,2078,Weihai Runten Industrial Limited,Create A Bait: Mad Max blank,Accounts Payable (A/P),180,1218422.5699999987
,Inventory Asset,09/02/2025,Bill,2078,Weihai Runten Industrial Limited,Create A Bait: Vicious Trapper Blank,Accounts Payable (A/P),180,1218602.5699999987
,Inventory Asset,09/02/2025,Bill,2078,Weihai Runten Industrial Limited,Create A Bait: Flatline Blank,Accounts Payable (A/P),180,1218782.5699999987
,Inventory Asset,09/02/2025,Bill,2078,Weihai Runten Industrial Limited,Create A Bait: Seeker 6 Blank,Accounts Payable (A/P),180,1218962.5699999987
,Inventory Asset,09/02/2025,Bill,2078,Weihai Runten Industrial Limited,Create A Bait: Patriot Blank,Accounts Payable (A/P),180,1219142.5699999987
,Inventory Asset,09/02/2025,Bill,2078,Weihai Runten Industrial Limited,Create A Bait: Squarebanger Blank,Accounts Payable (A/P),180,1219322.5699999987
,Inventory Asset,09/02/2025,Bill,2065,"Yazoo Mills, Inc.","Rod Tube w/ 3"" Inner Diameter - w/ Caps & Orange Logo",Accounts Payable (A/P),1451.61,1220774.1799999988
,Inventory Asset,09/03/2025,Bill,2110,"Jinhua Jiafu Trade Co., Ltd.",NEW Monsterbass Bait Bags,Accounts Payable (A/P),7643,1228417.1799999988
,Inventory Asset,09/05/2025,Bill,2113,VRX Fishing Products,"3.75"" Rally Shad, Perch",Accounts Payable (A/P),852.8,1229269.9799999988
,Inventory Asset,09/05/2025,Bill,2113,VRX Fishing Products,"3.75"" Rally Shad, Minnow Magic",Accounts Payable (A/P),852.8,1230122.7799999989
,Inventory Asset,09/05/2025,Bill,2113,VRX Fishing Products,"3.75"" Rally Shad, Smelt",Accounts Payable (A/P),852.8,1230975.579999999
,Inventory Asset,09/05/2025,Bill,2113,VRX Fishing Products,"3.75"" Rally Shad, 309",Accounts Payable (A/P),852.8,1231828.379999999
,Inventory Asset,09/05/2025,Bill,2113,VRX Fishing Products,"3.75"" Rally Shad, Gizzard Shad",Accounts Payable (A/P),854.4,1232682.7799999989
,Inventory Asset,09/05/2025,Bill,2113,VRX Fishing Products,"3.75"" Rally Shad, Pearl Silver Flake",Accounts Payable (A/P),854.4,1233537.1799999988
,Inventory Asset,09/30/2025,Bill,2126,TTI Blakemore Group,Standout Drop Shit Hook Size 1,Accounts Payable (A/P),2720,1236257.1799999988
,Inventory Asset,10/01/2025,Inventory Starting Value,START,,LH-JIG-MISC - Opening inventory and value,Opening Balance Equity,0,1236257.1799999988
,Inventory Asset,10/01/2025,Inventory Starting Value,START,,NED-GP - Opening inventory and value,Opening Balance Equity,0,1236257.1799999988
,Inventory Asset,10/01/2025,Inventory Starting Value,START,,AP-38 - Opening inventory and value,Opening Balance Equity,0,1236257.1799999988
,Inventory Asset,10/01/2025,Inventory Starting Value,START,,AP-12 - Opening inventory and value,Opening Balance Equity,0,1236257.1799999988
,Inventory Asset,10/01/2025,Inventory Starting Value,START,,BS-MISC - Opening inventory and value,Opening Balance Equity,0,1236257.1799999988
,Inventory Asset,10/28/2025,Bill,2135,LunkerHunt Premium Fishing Products,Finesse Skirted Jig,Accounts Payable (A/P),3439.2,1239696.3799999987
,Inventory Asset,11/01/2025,Inventory Starting Value,START,,MLF-YZ-RC - Opening inventory and value,Opening Balance Equity,0,1239696.3799999987
,Inventory Asset,11/01/2025,Inventory Starting Value,START,,MLF-YZ-RC - Opening inventory and value,Opening Balance Equity,0,1239696.3799999987
,Inventory Asset,11/06/2025,Bill,2129,Livingston Lures,PRIMETYME CB 1.5 Melon Shad,Accounts Payable (A/P),288,1239984.3799999987
,Inventory Asset,11/06/2025,Bill,2129,Livingston Lures,PRIMETYME CB 1.5 Chartreuse Sunrise Shad,Accounts Payable (A/P),645,1240629.3799999987
,Inventory Asset,11/06/2025,Bill,2129,Livingston Lures,PRIMETYME CB 1.5 Bluetreuse,Accounts Payable (A/P),930,1241559.3799999987
,Inventory Asset,11/06/2025,Bill,2129,Livingston Lures,PRIMETYME CB 1.5 Ginrin,Accounts Payable (A/P),1068,1242627.3799999987
,Inventory Asset,11/06/2025,Bill,2129,Livingston Lures,PRIMETYME CB 1.5True Bream,Accounts Payable (A/P),1110,1243737.3799999987
,Inventory Asset,11/06/2025,Bill,2129,Livingston Lures,PRIMETYME CB 1.5 Guntersville Craw,Accounts Payable (A/P),687,1244424.3799999987
,Inventory Asset,11/06/2025,Bill,2129,Livingston Lures,WALK N POP 77 Beauty Shad,Accounts Payable (A/P),210,1244634.3799999987
,Inventory Asset,11/06/2025,Bill,2129,Livingston Lures,WALK N POP 77 Black Back Chrome Shad,Accounts Payable (A/P),750,1245384.3799999987
,Inventory Asset,11/06/2025,Bill,2129,Livingston Lures,WALK N POP 77 Tennessee Shad,Accounts Payable (A/P),666,1246050.3799999987
,Inventory Asset,11/06/2025,Bill,2129,Livingston Lures,WALK N POP 77 Bluetreuse,Accounts Payable (A/P),471,1246521.3799999987
,Inventory Asset,11/06/2025,Bill,2129,Livingston Lures,WALK N POP 77 Mad Dog,Accounts Payable (A/P),828,1247349.3799999987
,Inventory Asset,11/06/2025,Bill,2129,Livingston Lures,Walk N Pop 77 Pro Green #1626,Accounts Payable (A/P),519,1247868.3799999987
,Inventory Asset,11/06/2025,Bill,2129,Livingston Lures,WALK N POP 77 Black Sulver Shiner,Accounts Payable (A/P),765,1248633.3799999987
,Inventory Asset,11/06/2025,Bill,2129,Livingston Lures,Walk N Pop 77 Black Pearl Shiner,Accounts Payable (A/P),726,1249359.3799999987
,Inventory Asset,11/06/2025,Bill,2129,Livingston Lures,WALK N POP 77 XXX Shad,Accounts Payable (A/P),588,1249947.3799999987
,Inventory Asset,11/06/2025,Bill,2129,Livingston Lures,WALK N POP 77 Bone Cracker,Accounts Payable (A/P),939,1250886.3799999987
,Inventory Asset,11/06/2025,Bill,2129,Livingston Lures,FLATMASTER XXX Shad,Accounts Payable (A/P),822,1251708.3799999987
,Inventory Asset,11/06/2025,Bill,2129,Livingston Lures,FLATMASTER True Bream,Accounts Payable (A/P),648,1252356.3799999987
,Inventory Asset,11/06/2025,Bill,2129,Livingston Lures,FLATMASTER Copperhead,Accounts Payable (A/P),519,1252875.3799999987
,Inventory Asset,11/06/2025,Bill,2129,Livingston Lures,FLATMASTER Guntersville Craw,Accounts Payable (A/P),867,1253742.3799999987
,Inventory Asset,11/06/2025,Bill,2129,Livingston Lures,FlatMaster³Okie Craw,Accounts Payable (A/P),528,1254270.3799999987
,Inventory Asset,11/06/2025,Bill,2129,Livingston Lures,FLATMASTER Spring Craw,Accounts Payable (A/P),120,1254390.3799999987
,Inventory Asset,11/06/2025,Bill,2129,Livingston Lures,FLATMASTER Citrus Sparkle,Accounts Payable (A/P),717,1255107.3799999987
,Inventory Asset,11/06/2025,Bill,2129,Livingston Lures,FlatMaster³ Chartreuse Shad #2903,Accounts Payable (A/P),744,1255851.3799999987
,Inventory Asset,11/06/2025,Bill,2116,"Z-Man Fishing Products, Inc.","SKU	Description and Color

TFAT-02PK5	TURBO FATTYZ 6"" BLACK/BLUE 5PK  (Quantity 355) 

TFAT-07PK5	TURBO FATTYZ 6"" PLUM 5PK  (Quantity 256) 
 
TFAT-18PK5	TURBO FATTYZ 6"" WTMLN RED 5PK  (Quantity 130) 

TFAT-268PK5	TURBO FATTYZ 6"" CALI CRAW 5PK   (Quantity 280) 

TFAT-42PK5	TURBO FATTYZ 6"" JUNEBUG 5PK   (Quantity 322) 

TFAT-46PK5	TURBO FATTYZ 6"" GRN PMKPN 5PK  (Quantity 316) 

TFAT-84PK5	TURBO FATTYZ 6"" PEARL 5PK   (Quantity 1282)",Accounts Payable (A/P),1.36,1255852.7399999988
,Inventory Asset,11/06/2025,Bill,2116,"Z-Man Fishing Products, Inc.","SKU	Description and Color

CEPF14-01	CE FINESSE JIG 1/4OZ BLACK/BLU (Quantity 126)

CEPF14-02	CE FINESSE JIG 1/4OZ GREEN PUM  (Quantity 129)

CEPF14-03	CE FINESSE JIG 1/4OZ MOCCASIN  (Quantity 128)


CEPF14-04	CE FINESSE JIG 1/4OZ CANDY CRA  (Quantity 604)


CEPF14-05	CE FINESSE JIG 1/4OZ POND SCUM  (Quantity 451)


CEPF14-06	CE FINESSE JIG 1/4OZ PB&J  (Quantity 359)


CEPF14-07	CE FINESSE JIG 1/4OZ NATURAL C  (Quantity 189)


CEPF14-08	CE FINESSE JIG 1/4OZ BRSD GRN  (Quantity 654)",Accounts Payable (A/P),3141.6,1258994.339999999
,Inventory Asset,11/06/2025,Bill,2116,"Z-Man Fishing Products, Inc.","SKU	Description and Color

SSINK-296PK6	ZINKERZ 5"" BAMA BUG 6PK  (Quantity 241)

SSINK-298PK6	ZINKERZ 5"" SPRAYED GRASS 6PK (Quantity 139)

SSINK-378PK6	ZINKERZ 5"" PURPLE RAIN 6PK (Quantity 336)",Accounts Payable (A/P),823.4,1259817.7399999988
,Inventory Asset,11/06/2025,Bill,2116,"Z-Man Fishing Products, Inc.","SKU	Description and Color

TRD6-28PK6	GIANT TRD 6"" SMELT 6PK (Quantity 13)

TRD6-348PK6	GIANT TRD 6"" YOGA PANTS 6 PACK (Quantity 66)

TRD6-42PK6	GIANT TRD 6"" JUNEBUG 6PK  (Quantity 77)",Accounts Payable (A/P),229.32,1260047.059999999
,Inventory Asset,12/01/2025,Inventory Starting Value,START,,SF-14 - Opening inventory and value,Opening Balance Equity,0,1260047.059999999
,Inventory Asset,12/01/2025,Inventory Starting Value,START,,SF-14 - Opening inventory and value,Opening Balance Equity,0,1260047.059999999
,Inventory Asset,12/01/2025,Inventory Starting Value,START,,SF-38 - Opening inventory and value,Opening Balance Equity,0,1260047.059999999
,Inventory Asset,12/01/2025,Inventory Starting Value,START,,FS28-4KS - Opening inventory and value,Opening Balance Equity,0,1260047.059999999
,Inventory Asset,12/01/2025,Inventory Starting Value,START,,FS28-GNSR - Opening inventory and value,Opening Balance Equity,0,1260047.059999999
,Inventory Asset,12/02/2025,Inventory Starting Value,START,,SF-87 - Opening inventory and value,Opening Balance Equity,0,1260047.059999999
,Inventory Asset,12/16/2025,Bill,2140,Weihai Runten Industrial Limited,Create A Bait  SLICK STICK 99 BLANK,Accounts Payable (A/P),225,1260272.059999999
,Inventory Asset,12/16/2025,Bill,2140,Weihai Runten Industrial Limited,Create A Bait  LITTLE BANGER BLANK,Accounts Payable (A/P),225,1260497.059999999
,Inventory Asset,12/16/2025,Bill,2140,Weihai Runten Industrial Limited,Create A Bait  MAD MAX BLANK,Accounts Payable (A/P),225,1260722.059999999
,Inventory Asset,12/16/2025,Bill,2140,Weihai Runten Industrial Limited,Create A Bait   VICIOUS TRAPPER BLANK,Accounts Payable (A/P),225,1260947.059999999
,Inventory Asset,12/16/2025,Bill,2140,Weihai Runten Industrial Limited,Create A Bait  FLATLINE BLANK,Accounts Payable (A/P),225,1261172.059999999
,Inventory Asset,12/16/2025,Bill,2140,Weihai Runten Industrial Limited,Create A Bait  SEEKER 6 BLANK,Accounts Payable (A/P),225,1261397.059999999
,Inventory Asset,12/16/2025,Bill,2140,Weihai Runten Industrial Limited,Create A Bait  PATRIOT BLANK,Accounts Payable (A/P),225,1261622.059999999
,Inventory Asset,12/16/2025,Bill,2140,Weihai Runten Industrial Limited,Create A Bait  SQUAREBANGER BLANK,Accounts Payable (A/P),225,1261847.059999999
,Inventory Asset,12/16/2025,Bill,2148,Pradco Outdoors Brands,Booyah MICRO POND-ALPINE,Accounts Payable (A/P),3520,1265367.059999999
,Inventory Asset,12/16/2025,Bill,2127,Livingston Lures,WALKING BOSS II Beauty Shad,Accounts Payable (A/P),204,1265571.059999999
,Inventory Asset,12/16/2025,Bill,2127,Livingston Lures,WALKING BOSS II Black Back Chrome Shad,Accounts Payable (A/P),492,1266063.059999999
,Inventory Asset,12/16/2025,Bill,2127,Livingston Lures,WALKING BOSS II Blue Pearl,Accounts Payable (A/P),417,1266480.059999999
,Inventory Asset,12/16/2025,Bill,2127,Livingston Lures,WALKING BOSS II Ginrin,Accounts Payable (A/P),153,1266633.059999999
,Inventory Asset,12/16/2025,Bill,2127,Livingston Lures,WALKING BOSS II Pure Bone,Accounts Payable (A/P),27,1266660.059999999
,Inventory Asset,12/16/2025,Bill,2127,Livingston Lures,Walking Boss II Pro Green #1826,Accounts Payable (A/P),753,1267413.059999999
,Inventory Asset,12/16/2025,Bill,2127,Livingston Lures,WALKING BOSS II Black Silver Shiner,Accounts Payable (A/P),414,1267827.059999999
,Inventory Asset,12/16/2025,Bill,2127,Livingston Lures,WALKING BOSS II Chartreuse Blue Shiner,Accounts Payable (A/P),321,1268148.059999999
,Inventory Asset,12/16/2025,Bill,2127,Livingston Lures,Walking Boss II XXX Shad,Accounts Payable (A/P),699,1268847.059999999
,Inventory Asset,12/16/2025,Bill,2127,Livingston Lures,WALKING BOSS II PRO BLUE #1851,Accounts Payable (A/P),612,1269459.059999999
,Inventory Asset,12/16/2025,Bill,2127,Livingston Lures,WALKING BOSS II Citrus Sparkle,Accounts Payable (A/P),420,1269879.059999999
,Inventory Asset,12/16/2025,Bill,2127,Livingston Lures,WALKING BOSS II Brown Hitch,Accounts Payable (A/P),744,1270623.059999999
,Inventory Asset,12/16/2025,Bill,2127,Livingston Lures,WALKING BOSS II Sexy Melon,Accounts Payable (A/P),471,1271094.059999999
,Inventory Asset,12/16/2025,Bill,2127,Livingston Lures,WALKING BOSS II Natural Perch,Accounts Payable (A/P),714,1271808.059999999
,Inventory Asset,12/16/2025,Bill,2127,Livingston Lures,WALKING BOSS II Midnight,Accounts Payable (A/P),939,1272747.059999999
,Inventory Asset,12/16/2025,Bill,2127,Livingston Lures,WALKING BOSS II Bone Cracker,Accounts Payable (A/P),1026,1273773.059999999
,Inventory Asset,12/16/2025,Bill,2117,"Z-Man Fishing Products, Inc.","SKU	Description and Color

CEFB12-03	CE FOOTBALL JIG 1/2 OZ LEDGE C (Quantity 101) 

CEFB12-04	CE FOOTBALL JIG 1/2OZ PUMPKIN  (Quantity 66) 

CEFB12-05	CE FOOTBALL JIG 1/2OZ GRN PMPK  (Quantity 153) 

CEFB12-07	CE FOOTBALL JIG 1/2 OZ SMOKED  (Quantity 219) 

CEFB12-08	CE FOOTBALL JIG 1/2 OZ MONEY M  (Quantity 73) 

CEFB34-01	CE FOOTBALL JIG 3/4 OZ BLACK/B  (Quantity 140) 

CEFB34-03	CE FOOTBALL JIG 3/4 OZ LEDGE C  (Quantity 15) 

CEFB34-04	CE FOOTBALL JIG 3/4OZ PUMPKIN  (Quantity 63) 

CEFB34-06	CE FOOTBALL JIG 3/4 OZ PLUMKIN  (Quantity 13) 

CEFB34-08	CE FOOTBALL JIG 3/4 OZ MONEY M  (Quantity 163) 

CEFL12-01	CE FLIPPING JIG 1/2OZ BLACK/BL  (Quantity 35) 

CEFL12-02	CE FLIPPING JIG 1/2OZ GREEN PU  (Quantity 245) 

CEFL12-06	CE FLIPPING JIG 1/2OZ WHT LIGH  (Quantity 365) 

CEFL12-07	CE FLIPPING JIG 1/2OZ SPRING P  (Quantity 88) 

CEFL12-08	CE FLIPPING JIG 1/2OZ BRSD GRN  (Quantity 224) 

CEFL38-01	CE FLIPPING JIG 3/8OZ BLACK/BL  (Quantity 189) 
 
CEFL38-02	CE FLIPPING JIG 3/8OZ GREEN PU  (Quantity 289) 

CEFL38-03	CE FLIPPING JIG 3/8OZ MOCCASIN  (Quantity 147) 

CEFL38-04	CE FLIPPING JIG 3/8OZ CANDY CR  (Quantity 110) 

CEFL38-06	CE FLIPPING JIG 3/8OZ WHT LIGH  (Quantity 378) 

CEFL38-07	CE FLIPPING JIG 3/8OZ SPRING P  (Quantity 194) 

CEFL38-08	CE FLIPPING JIG 3/8OZ BRSD GRN  (Quantity 262)",Accounts Payable (A/P),4203.08,1277976.139999999
,Inventory Asset,12/16/2025,Bill,2117,"Z-Man Fishing Products, Inc.","SKU	Description and Color

POPSHAD4-57PK3	POP SHADZ 4"" SMOKY SHAD 3PK (Quantity 242) 

POPSHAD5-311PK3	POP SHADZ 5"" BRKNG BREAM 3PK (Quantity 136)

POPSHAD5-57PK3	POP SHADZ 5"" SMOKY SHAD 3PK (Quantity 262)",Accounts Payable (A/P),940.8,1278916.939999999
,Inventory Asset,12/16/2025,Bill,2144,GSM Outdoors,"3.5"" COLLEGE CRAW / HEMATOMA (10 PACK)",Accounts Payable (A/P),243.1,1279160.039999999
,Inventory Asset,12/16/2025,Bill,2144,GSM Outdoors,"3.5"" COLLEGE CRAW / WATERMELON RED (10 PACK)",Accounts Payable (A/P),297.5,1279457.539999999
,Inventory Asset,12/16/2025,Bill,2144,GSM Outdoors,"3.5"" COLLEGE CRAW / BLACK BLUE SILVER (10 PACK)",Accounts Payable (A/P),602.65,1280060.189999999
,Inventory Asset,12/16/2025,Bill,2144,GSM Outdoors,"3.5"" COLLEGE CRAW / BROWN (10 PACK)",Accounts Payable (A/P),505.75,1280565.939999999
,Inventory Asset,12/16/2025,Bill,2144,GSM Outdoors,"3.5"" COLLEGE CRAW / GREEN PUMPKIN BLUE (10 PACK)",Accounts Payable (A/P),157.25,1280723.189999999
,Inventory Asset,12/16/2025,Bill,2144,GSM Outdoors,"3.5"" COLLEGE CRAW / SPICY PURPLE (10 PACK)",Accounts Payable (A/P),177.65,1280900.839999999
